genre,hex_colour,x,y,r,g,b
sardinia indie,#ad7b4d,478,13102,173,123,77
ambient dub techno,#9190d0,1018,17000,145,144,208
georgian electronic,#a291cf,1149,17783,162,145,207
marimba,#28b1c0,817,1577,40,177,192
finnish edm,#ce828c,797,18377,206,130,140
indonesian edm,#b98672,795,16670,185,134,114
classic anime,#9e7d40,576,13041,158,125,64
swedish synthpop,#b08844,729,17252,176,136,68
vgm remix,#c18da0,905,18261,193,141,160
oc indie,#ab7a2e,533,11939,171,122,46
kamen rider,#a57983,359,12785,165,121,131
belgian edm,#c5844e,925,17746,197,132,78
terrorcore,#e05f9e,795,18554,224,95,158
noise punk,#cc4978,301,9784,204,73,120
korean city pop,#9a8e28,834,13828,154,142,40
deep r&b,#988f34,915,14030,152,143,52
bahai,#a28813,1014,13659,162,136,19
stubenmusik,#46ac92,1080,2993,70,172,146
berlin minimal techno,#ae94b1,1303,19123,174,148,177
tech house,#b88cba,1305,19034,184,140,186
minnesang,#1da622,524,1325,29,166,34
british dance band,#3d9063,830,1830,61,144,99
norwegian experimental,#71818c,355,7165,113,129,140
progressive house,#cf7d74,744,17953,207,125,116
trekkspill,#6e9f5b,670,6942,110,159,91
indonesian bamboo,#80987f,777,7796,128,152,127
hmong pop,#9e9434,860,14750,158,148,52
deep acoustic pop,#8d8f21,586,11827,141,143,33
italian pop,#af870b,786,14068,175,135,11
broken beat,#a78668,1106,17188,167,134,104
baroque brass,#28a4ca,482,1401,40,164,202
focus beats,#5c99b1,1030,8900,92,153,177
cambodian traditional,#4c9f39,795,2740,76,159,57
detskie pesni,#748e1b,1052,8938,116,142,27
japanese alternative pop,#9b872d,630,12281,155,135,45
transpop,#998825,724,12564,153,136,37
musique alsacienne,#8c864b,868,7497,140,134,75
accordion,#818d69,897,6941,129,141,105
australian children's music,#798d0c,1060,8826,121,141,12
balinese traditional,#709996,713,5321,112,153,150
glitchcore,#a1911e,744,15229,161,145,30
basel indie,#a87e3d,467,12514,168,126,61
nuevo folklore argentino,#839544,951,9590,131,149,68
rennes indie,#a18337,596,13200,161,131,55
deep latin jazz,#8a8f8c,919,8487,138,143,140
indonesian psychedelia,#919023,604,11901,145,144,35
lo-fi beats,#6098a3,1028,8991,96,152,163
tin pan alley,#4c8e85,968,1805,76,142,133
flamenco,#6f8d37,897,3942,111,141,55
country blues,#4d9327,1095,2184,77,147,39
christian uplift,#81911a,332,10379,129,145,26
swedish rockabilly,#cc6f10,627,10908,204,111,16
saxony metal,#db5754,199,13489,219,87,84
deep contemporary country,#899105,643,10305,137,145,5
country dawn,#8b8e02,576,10045,139,142,2
oriental metal,#d35e5c,215,13845,211,94,92
austrian metal,#d75846,204,13784,215,88,70
soca,#c08305,1091,13024,192,131,5
spanish death metal,#e4478c,190,11890,228,71,140
funk 150 bpm,#be7a05,1296,13257,190,122,5
rwandan pop,#7b7003,1095,8863,123,112,3
musica michoacana,#99910e,961,8261,153,145,14
charango,#8a8d47,961,6954,138,141,71
new orleans americana,#7b900d,751,6966,123,144,13
new england americana,#759414,602,6448,117,148,20
classic azeri pop,#769221,552,5508,118,146,33
kabyle,#b17f0e,821,12588,177,127,14
tajik pop,#af870b,864,12888,175,135,11
r&b brasileiro,#929406,970,11752,146,148,6
lagu jawa,#b1980b,872,14904,177,152,11
son jarocho,#938d17,1037,6363,147,141,23
forro tradicional,#af8112,903,10096,175,129,18
lezginka,#d17807,779,15782,209,120,7
russian death metal,#e64e83,219,14890,230,78,131
merengue tipico,#c0780a,1069,8838,192,120,10
italian doom metal,#b56f78,127,10908,181,111,120
musica popular colombiana,#8f9504,1145,8912,143,149,4
carnatic,#7d8839,746,3032,125,136,57
latin metal,#d0621c,326,12293,208,98,28
pagode,#ab8003,847,9684,171,128,3
indonesian folk pop,#51a608,624,5642,81,166,8
comedienne,#8d5b05,1107,2526,141,91,5
instrumental bluegrass,#75996e,790,6571,117,153,110
retro metal,#c46f53,260,10084,196,111,83
jazz trio,#4e98ac,907,2892,78,152,172
american choir,#299146,163,701,41,145,70
spanish stoner rock,#bf7452,263,12467,191,116,82
deep rai,#cc7008,836,14311,204,112,8
rap antillais,#ae8f09,1024,11359,174,143,9
post-doom metal,#b95e9d,122,9637,185,94,157
cosmic black metal,#ae4cba,52,9999,174,76,186
canadian punk,#e4501c,265,13041,228,80,28
forro manauara,#b58d01,1156,9479,181,141,1
corrido,#9b8c03,1047,8801,155,140,3
trap boricua,#a39403,1118,13061,163,148,3
hypnosis mic,#c26a10,959,13608,194,106,16
background piano,#16ace3,467,1389,22,172,227
roots americana,#8f8c09,660,9497,143,140,9
danish choir,#1da12d,202,689,29,161,45
abstract,#6d86b2,550,8531,109,134,178
scottish electronic,#9c8ba8,828,15445,156,139,168
spanish electronic,#9e93b2,897,16771,158,147,178
finnish electronic,#a68ab1,955,16481,166,138,177
dark black metal,#db2c95,22,9974,219,44,149
melodic metal,#d95e1a,199,15293,217,94,26
finnish power metal,#d36921,212,15737,211,105,33
canadian metalcore,#eb473b,182,15090,235,71,59
drone folk,#619aac,566,4803,97,154,172
cornish folk,#4f9512,734,5142,79,149,18
tajik traditional,#39994a,909,2311,57,153,74
chilean rock,#a0801b,711,10896,160,128,27
russian rave,#d0772c,882,17188,208,119,44
british soundtrack,#419dc0,248,5546,65,157,192
ghent indie,#8c8d43,618,11093,140,141,67
indie psych-pop,#908b54,440,10108,144,139,84
popwave,#a99256,569,17264,169,146,86
uruguayan indie,#918d30,650,11448,145,141,48
funana,#b78616,1104,16443,183,134,22
belgian post-rock,#868ea0,336,10268,134,142,160
jersey club,#b8833a,1147,17530,184,131,58
bal-musette,#7f8c81,1031,6388,127,140,129
outer hip hop,#ab7929,1048,13272,171,121,41
jazz boom bap,#8e887e,1117,15252,142,136,126
vintage hawaiian,#4b967c,858,2753,75,150,124
hengelliset laulut,#2fa541,311,1668,47,165,65
neue volksmusik,#85891f,909,8439,133,137,31
early french punk,#c96327,526,12427,201,99,39
tuvan folk,#598f34,444,4308,89,143,52
precure,#a4824f,513,14386,164,130,79
munich indie,#9c8629,677,12527,156,134,41
colombian rock,#b87918,772,14299,184,121,24
musica infantil,#609e3c,984,8426,96,158,60
halftime dnb,#bc8581,978,16430,188,133,129
art punk,#ba623c,536,11067,186,98,60
lagu bali,#879a65,843,11435,135,154,101
south african pop dance,#ab8b2f,993,17025,171,139,47
musica per bambini,#928d23,961,10956,146,141,35
russian viral rap,#ad910d,1136,16191,173,145,13
lithuanian edm,#b58e63,1106,17918,181,142,99
italian lounge,#9e8f61,919,14344,158,143,97
melodic techno,#af98ca,1298,19099,175,152,202
neru,#3194c3,267,3069,49,148,195
chinese traditional,#339cbd,223,3296,51,156,189
norwegian rock,#a5791f,497,9287,165,121,31
anarcho-punk,#c45731,413,9324,196,87,49
slovak indie,#948844,538,11705,148,136,68
indie tabasqueno,#9e8061,467,11326,158,128,97
strut,#b87e21,955,17315,184,126,33
essex indie,#9f802d,502,12760,159,128,45
vispop,#8e8e12,748,11092,142,142,18
merida indie,#ab8036,504,13931,171,128,54
malaysian hip hop,#af8010,931,14144,175,128,16
georgian pop,#889021,692,9077,136,144,33
ruta destroy,#b0889c,1076,17869,176,136,156
turkish punk,#c46b16,504,13139,196,107,22
icelandic rock,#998129,529,10243,153,129,41
deutsch disney,#6e8305,797,6176,110,131,5
vocal harmony group,#468f0e,907,2766,70,143,14
vietnamese traditional,#459a49,774,3019,69,154,73
glitch,#7d819d,655,10560,125,129,157
persian electronic,#979697,1069,16923,151,150,151
dusseldorf electronic,#ad83ab,1136,17593,173,131,171
koto,#37a8b2,907,642,55,168,178
dutch folk,#579d23,741,5444,87,157,35
deep liquid,#d38fad,1001,18410,211,143,173
folk siciliana,#74941b,774,8249,116,148,27
cdmx indie,#a18731,529,13746,161,135,49
folclore castilla y leon,#719425,808,5793,113,148,37
chihuahua indie,#a38423,569,12638,163,132,35
turkish metal,#c46940,389,13511,196,105,64
synthpop,#b6792d,734,16872,182,121,45
fake,#8d915d,919,14597,141,145,93
bossa nova jazz,#75955f,897,8138,117,149,95
psychedelic punk,#bb6661,322,9637,187,102,97
dark post-punk,#c07b81,393,17239,192,123,129
swazi pop,#8b911f,945,12476,139,145,31
neo soul-jazz,#8c8b16,917,12991,140,139,22
balkan beats,#b28248,1014,16089,178,130,72
medimeisterschaften,#af8928,1060,16771,175,137,40
classical clarinet,#459a76,739,2956,69,154,118
easy listening,#4e9236,543,3322,78,146,54
norwegian contemporary jazz,#58918f,476,5844,88,145,143
moroccan traditional,#788554,929,5806,120,133,84
classic soundtrack,#47969e,295,3853,71,150,158
irish experimental,#5b897e,355,6381,91,137,126
compositional ambient,#2fa1bb,330,2715,47,161,187
estonian folk,#6e9d32,627,6633,110,157,50
french indie pop,#928f32,756,13236,146,143,50
russian emo rap,#a3920d,882,15192,163,146,13
orkney and shetland folk,#65a350,491,4296,101,163,80
shanghai indie,#a37759,409,9472,163,119,89
musica infantil catala,#6e9622,988,8088,110,150,34
jungle,#d87c8a,1031,18176,216,124,138
chanson virale,#ab8419,1001,12225,171,132,25
french psychedelic,#a48a62,482,13473,164,138,98
american post-rock,#8690c1,309,9575,134,144,193
string orchestra,#2aa88f,305,2072,42,168,143
french worship,#779215,547,7437,119,146,21
hungarian contemporary classical,#1c9d86,389,1202,28,157,134
pop dance,#cb7f45,779,17593,203,127,69
brighton indie,#aa7d37,448,12465,170,125,55
australian electropop,#af8a2e,758,16342,175,138,46
post-punk argentina,#a87b21,677,13387,168,123,33
san antonio indie,#b0793d,403,11118,176,121,61
deep flow,#a97d25,984,13596,169,125,37
dallas indie,#a18229,484,12061,161,130,41
kyushu indie,#ae7c19,502,11754,174,124,25
scottish smallpipe,#779379,226,7379,119,147,121
deep soft rock,#7b8d26,680,10218,123,141,38
libyan pop,#ad7617,847,11987,173,118,23
deep smooth jazz,#8a9680,968,11975,138,150,128
dutch tech house,#c288b2,1340,19111,194,136,178
vintage hollywood,#4b8c1e,772,1476,75,140,30
romanian classical piano,#22a6da,545,212,34,166,218
bebop,#56916d,921,3007,86,145,109
swiss classical piano,#19a5d4,419,163,25,165,212
folklore cuyano,#6e973b,1014,5433,110,151,59
german metal,#d85927,252,14607,216,89,39
pakistani folk,#a07911,770,6497,160,121,17
psychedelic doom,#bd726b,221,9562,189,114,107
minneapolis punk,#d3573e,269,11191,211,87,62
cumbia ranchera,#b88602,951,13890,184,134,2
trap tuga,#94960d,1067,10269,148,150,13
hoerspiel,#656501,1296,5723,101,101,1
irish metal,#d05655,170,12381,208,86,85
funk capixaba,#c28206,1277,12929,194,130,6
uk americana,#7c910d,522,7461,124,145,13
punk tico,#e05c15,375,12747,224,92,21
rock cristao fluminense,#bf7516,313,14117,191,117,22
contemporary choir,#1ca247,127,566,28,162,71
salsa puertorriquena,#a98807,1033,7980,169,136,7
tanzanian pop,#ac8b04,1018,10318,172,139,4
heavy psych,#b67482,197,9463,182,116,130
comedia,#746e04,1154,3057,116,110,4
nyhc,#e44b2d,303,10393,228,75,45
contemporary country,#a38801,557,13612,163,136,1
pop punk,#d16809,336,15229,209,104,9
pop emo,#c87204,338,15861,200,114,4
grisly death metal,#e9418b,145,12270,233,65,139
rkt,#ae8f09,1389,17441,174,143,9
punjabi pop,#c47d05,1001,12672,196,125,5
bulgarian metal,#cf6248,252,13078,207,98,72
acoustic opm,#6aa106,650,6966,106,161,6
mento,#897c11,1151,5820,137,124,17
skinhead oi,#e34c16,326,10566,227,76,22
haryanvi pop,#c88501,1118,16392,200,133,1
jamgrass,#8f8a41,790,7274,143,138,65
historic piano performance,#20a0cb,467,200,32,160,203
cameroonian hip hop,#b68605,1048,10567,182,134,5
southern americana,#84910d,517,8212,132,145,13
classic moroccan pop,#a9791d,836,7907,169,121,29
flamenco urbano,#b98603,1022,13510,185,134,3
seiyu,#d17418,444,16721,209,116,24
rap kreyol,#bb8406,1074,11702,187,132,6
javanese dangdut,#b0980c,855,14634,176,152,12
guitarra argentina,#3ba794,1080,1552,59,167,148
danish black metal,#bc4ea1,46,9742,188,78,161
deep norteno,#b28c06,959,10486,178,140,6
baps,#689106,872,5243,104,145,6
italian romanticism,#2d9735,336,407,45,151,53
bloco,#ba720e,911,11422,186,114,14
drone psych,#748491,385,6891,116,132,145
demoscene,#998598,828,14799,153,133,152
sound art,#547baf,343,6330,84,123,175
swedish metalcore,#ea5315,195,17138,234,83,21
american melodeath,#ec435c,168,13906,236,67,92
renaissance,#21a556,252,787,33,165,86
american primitive,#59a2c0,602,4434,89,162,192
russian jazz,#5a8d59,751,4055,90,141,89
german indie,#a18420,670,12904,161,132,32
greek guitar,#679749,589,5460,103,151,73
andean flute,#829859,736,8536,130,152,89
argentine jazz,#539a97,862,4043,83,154,151
etherpop,#839238,506,10231,131,146,56
bergen indie,#a1852e,547,12820,161,133,46
latvian folk,#659621,543,6620,101,150,33
italian punk,#d25b27,403,12221,210,91,39
baroque,#2ba476,391,1855,43,164,118
art rock,#987a35,513,8779,152,122,53
beatdown,#d75a28,427,11754,215,90,40
igbo worship,#ad8724,966,10993,173,135,36
kids hip hop,#a0860b,1098,15837,160,134,11
oyun havasi,#b07f0b,968,10413,176,127,11
kwaito,#b9831f,1122,17215,185,131,31
musica antigua,#2ba35a,476,2032,43,163,90
modern performance,#2c9472,351,2147,44,148,114
czech contemporary classical,#239f7a,363,1338,35,159,122
faroese jazz,#60917e,664,5545,96,145,126
russian contemporary classical,#229a8e,338,897,34,154,142
vintage dutch pop,#708b18,719,6128,112,139,24
salon music,#35a57e,440,2766,53,165,126
russian modern classical,#2895a2,381,1080,40,149,162
country boogie,#5f8c1b,1047,4246,95,140,27
swedish tropical house,#b28d51,876,17389,178,141,81
minneapolis indie,#898b31,557,9936,137,139,49
czech indie,#93883b,526,11730,147,136,59
punk ska,#c76e18,670,13547,199,110,24
steelpan,#898a9b,897,9126,137,138,155
permanent wave,#aa7822,484,11509,170,120,34
portuguese pop,#949010,889,12350,148,144,16
maltese pop,#ae8723,591,15494,174,135,35
fort worth indie,#a47e47,423,12477,164,126,71
psybass,#b78a88,1009,17227,183,138,136
anime game,#a7816e,399,13661,167,129,110
oceania soundtrack,#3d9fbc,199,5698,61,159,188
space rock,#a3787f,324,9476,163,120,127
boy band,#ac8204,711,16569,172,130,4
indonesian hip hop,#ac841d,1028,14829,172,132,29
raw techno,#cd83cd,1215,19312,205,131,205
hungarian techno,#bc84c6,1351,19086,188,132,198
parody,#927707,929,9027,146,119,7
modern string quartet,#28a676,332,1680,40,166,118
middle eastern traditional,#65956c,741,3119,101,149,108
raga rock,#818872,457,7758,129,136,114
aikatsu,#ba7e4d,538,15937,186,126,77
flemish folk,#7a9329,726,8125,122,147,41
liechtenstein,#579874,219,6330,87,152,116
israeli indie,#8f8e30,576,10379,143,142,48
pinoy reggae,#9b8210,845,11654,155,130,16
coverchill,#5ca580,891,8353,92,165,128
dark wave,#b27957,461,15899,178,121,87
keroncong,#7f9b22,664,10242,127,155,34
acid jazz,#ad7b57,992,15330,173,123,87
ritual ambient,#7472b6,175,6836,116,114,182
classic french pop,#a3840e,767,12576,163,132,14
smooth jazz,#888f73,925,11605,136,143,115
dutch moombahton,#b68643,1206,17252,182,134,67
russian electronic,#a18fa0,947,16645,161,143,160
japanese experimental,#7e7d86,741,8868,126,125,134
dark ambient,#7078bc,254,8040,112,120,188
galician indie,#9d8a1c,561,11583,157,138,28
american 21st century classical,#2a9f7e,316,1583,42,159,126
vaudeville,#459123,1052,1299,69,145,35
irish folk,#5e9818,646,4990,94,152,24
lithuanian jazz,#5c8f5e,736,5206,92,143,94
kenyan traditional,#538f1f,1073,4181,83,143,31
indie napoletano,#898b29,795,10033,137,139,41
electropowerpop,#c8720e,554,17024,200,114,14
spanish folk,#799322,604,6337,121,147,34
romanian rock,#a4851a,615,13349,164,133,26
brazilian rock,#ba750f,596,12796,186,117,15
electronic trap,#ce7f41,826,16860,206,127,65
deep indie rock,#a68227,538,13225,166,130,39
latin rock,#af7f19,621,13486,175,127,25
armenian folk,#938b30,664,9188,147,139,48
chinese instrumental,#4ca689,369,5807,76,166,137
deep neo-synthpop,#bf8248,713,17939,191,130,72
indonesian viral pop,#d08f28,1170,17771,208,143,40
southern china indie,#988b3b,533,12147,152,139,59
djembe,#9a7a9b,1263,5976,154,122,155
italo house,#c37b61,1095,18225,195,123,97
uk garage,#b97b4b,1144,17454,185,123,75
bornehistorier,#547a04,1106,4978,84,122,4
memphis soul,#7b8518,880,7821,123,133,24
popping,#a67b33,1149,16544,166,123,51
afro-cuban traditional,#7e811c,1107,5832,126,129,28
musique concrete,#4a7176,409,3094,74,113,118
psychedelic rock,#8f7723,636,7261,143,119,35
taiwanese indie,#968415,700,11300,150,132,21
steampunk,#97802d,571,10994,151,128,45
math rock,#ae6e82,471,8495,174,110,130
gabba,#e4584f,571,17403,228,88,79
rap cristiano,#b48809,957,13865,180,136,9
latin alternative,#af8012,767,13751,175,128,18
reading indie,#b07e33,383,14694,176,126,51
deep dnb,#d184a2,1095,18066,209,132,162
classic hungarian pop,#a97d10,734,12697,169,125,16
denton tx indie,#a27b3b,397,9887,162,123,59
dark techno,#c687d3,1232,19388,198,135,211
nyahbinghi,#878246,1127,10542,135,130,70
serbian electronic,#c589c6,1312,19375,197,137,198
jazz rap,#a5772e,1107,13827,165,119,46
electroacoustic composition,#536779,373,3726,83,103,121
israeli classical,#21a275,373,1031,33,162,117
irish gaelic folk,#2eab14,591,2197,46,171,20
disney italiano,#5c8f07,667,4358,92,143,7
deep adult standards,#539109,664,3524,83,145,9
indie tico,#988843,517,11460,152,136,67
swiss indie,#998916,772,12425,153,137,22
deep pop edm,#be8a31,838,17505,190,138,49
folk cantabria,#788d18,646,5819,120,141,24
oth indie,#8f8b29,500,10774,143,139,41
necrogrind,#da3a7b,210,10932,218,58,123
hardcore breaks,#d37988,961,18163,211,121,136
nerdcore brasileiro,#bc7c03,581,13114,188,124,3
metropopolis,#a6882a,517,14901,166,136,42
old school nederhop,#c06e0c,1039,14622,192,110,12
hard rock brasileiro,#d66210,476,13151,214,98,16
lo-fi,#a5724d,434,9214,165,114,77
hip house,#c6783d,1082,18274,198,120,61
musica madeirense,#748d2f,744,8648,116,141,47
montenegrin pop,#b67e0a,801,14138,182,126,10
east coast reggae,#a28c14,993,12413,162,140,20
funk,#947b20,885,9200,148,123,32
hong kong hip hop,#a78421,978,14634,167,132,33
japanese guitar,#4fa8c9,935,4928,79,168,201
swedish soul,#978b11,853,14113,151,139,17
brazilian percussion,#b27744,1037,9315,178,119,68
electronica peruana,#be89aa,1369,18920,190,137,170
folclore jujeno,#789515,935,6214,120,149,21
twoubadou,#9f8d09,955,11298,159,141,9
spanish metal,#d7621b,307,14398,215,98,27
russian thrash metal,#e4522d,318,15242,228,82,45
canadian contemporary country,#ad8602,520,14435,173,134,2
somali pop,#a88a07,1085,14965,168,138,7
nyc metal,#cd538c,132,11007,205,83,140
trap dominicano,#af8d02,1131,12413,175,141,2
cuarteto,#cb8003,838,14126,203,128,3
drone ambient,#4484d8,36,2917,68,132,216
bolivian metal,#d46038,293,12956,212,96,56
slovenian metal,#dc4c5c,192,14288,220,76,92
musica wixarika,#919d07,1096,8875,145,157,7
chicago hardcore,#e34c3d,265,11497,227,76,61
classical soprano,#2e9e1c,340,444,46,158,28
opera,#359728,320,493,53,151,40
puerto rican folk,#8e870d,990,6461,142,135,13
euskal metal,#dc5937,286,14694,220,89,55
classic punjabi pop,#b97509,992,9089,185,117,9
italian hardcore,#e73e47,223,10145,231,62,71
guinean pop,#b6870e,995,10980,182,135,14
rap algerien,#ab8602,1052,11677,171,134,2
swiss metal,#d9554b,206,14335,217,85,75
dancehall,#b38803,1115,11347,179,136,3
funk paulista,#a09402,1293,12815,160,148,2
clean comedy,#9f4904,990,3398,159,73,4
musica andorra,#b38d98,1138,18041,179,141,152
future ambient,#9490a6,939,16493,148,144,166
ambient house,#a388ae,909,16911,163,136,174
boston electronic,#aa878f,1136,17696,170,135,143
bleep techno,#a680ab,1060,17277,166,128,171
slovak electronic,#b68eb4,1190,18325,182,142,180
melodic groove metal,#ee4728,181,15571,238,71,40
maltese metal,#de456f,93,11999,222,69,111
avant-garde,#27957e,377,1389,39,149,126
russian folk,#5a8a1d,576,2664,90,138,29
pop house,#ce7b36,986,18299,206,123,54
gyerekdalok,#659607,984,8550,101,150,7
classic rock,#9a771a,677,8187,154,119,26
recorder,#25a96c,442,2159,37,169,108
german pop,#a6830c,763,13547,166,131,12
nova musica maranhense,#8f8e11,819,11497,143,142,17
edmonton indie,#9a8625,533,11167,154,134,37
indonesian post-hardcore,#d06025,320,14854,208,96,37
panamanian rock,#c2761a,550,14422,194,118,26
new wave pop,#a97d17,686,14622,169,125,23
musica etnica,#7e9024,633,8052,126,144,36
nyc pop,#8e9215,736,12350,142,146,21
la indie,#a78130,489,13350,167,129,48
polish post-punk,#b3762e,529,12783,179,118,46
tunisian pop,#b07d09,765,12900,176,125,9
arab trap,#b69161,760,16797,182,145,97
burmese pop,#a38b0b,736,12588,163,139,11
martial industrial,#8d787d,307,9238,141,120,125
latvian hip hop,#a18829,1045,13161,161,136,41
deep smooth r&b,#8d8e0b,897,12849,141,142,11
organic house,#a697c3,1327,18933,166,151,195
house argentino,#b68fd1,1394,19363,182,143,209
vintage italian pop,#4c9721,602,2412,76,151,33
yiddish folk,#4b9829,933,2324,75,152,41
geek rock,#927e0d,858,11007,146,126,13
haur kantak,#878808,1020,8513,135,136,8
polish punk,#ca671c,480,12796,202,103,28
classic finnish rock,#8e840f,686,8273,142,132,15
latin christian,#978c13,643,11753,151,140,19
binaural,#4c25c7,106,4384,76,37,199
soundtrack,#3d9cc0,224,4965,61,156,192
irish modern jazz,#579a5e,692,5193,87,154,94
turin indie,#a88132,538,12625,168,129,50
brazilian ska,#c67b1a,767,14774,198,123,26
indie rock italiano,#b67b34,504,13066,182,123,52
alternative rock,#b46f35,403,10405,180,111,53
euroska,#c67713,870,14164,198,119,19
circus,#788092,680,6695,120,128,146
korean pop,#899420,607,9796,137,148,32
nephop,#988f14,1084,12525,152,143,20
gospel reggae,#a38b08,976,13952,163,139,8
chinese r&b,#869109,721,11263,134,145,9
christchurch indie,#9b8843,467,11387,155,136,67
brazilian lo-fi rock,#ab7473,273,10256,171,116,115
post-disco soul,#a97622,1085,15698,169,118,34
instrumental funk,#9b8285,968,9040,155,130,133
viral rap,#9a9109,1136,15558,154,145,9
korean old school hip hop,#bd7828,1054,15735,189,120,40
slovenian folk,#8c8e29,970,8273,140,142,41
baroque violin,#22a639,438,2108,34,166,57
southern soul blues,#98880c,1031,14536,152,136,12
liedermacher,#81820d,851,8163,129,130,13
rock campineiro,#d0622c,415,12282,208,98,44
classical mandolin,#45a186,992,3802,69,161,134
finnish jazz,#728f7e,664,6053,114,143,126
anti-folk,#878628,586,7239,135,134,40
german punk,#d45d15,440,12711,212,93,21
ukulele,#6c9857,999,6942,108,152,87
norwegian indie,#858d1e,561,9736,133,141,30
french punk,#d85d17,429,14215,216,93,23
west coast reggae,#9d8b0b,919,12646,157,139,11
classic icelandic pop,#838b0c,746,9212,131,139,12
hungarian pop,#b97d08,828,14762,185,125,8
classic italian pop,#7c8f09,667,6399,124,143,9
taiwanese indigenous,#609a17,613,6238,96,154,23
rock,#b0701e,489,9188,176,112,30
dublin indie,#9f8231,427,11068,159,130,49
gypsy punk,#b07926,729,11913,176,121,38
crust punk,#e13861,224,10071,225,56,97
ukrainian rock,#b3810d,736,14976,179,129,13
fort wayne indie,#a77b3a,461,10712,167,123,58
shonen,#b47b55,467,15077,180,123,85
ottawa indie,#a1802e,448,11533,161,128,46
shush,#5a12c5,74,4118,90,18,197
english baroque,#28a159,399,1620,40,161,89
polish psychedelia,#8b8a8c,383,8965,139,138,140
argentine reggae,#a58b13,1031,15027,165,139,19
french garage rock,#cb654b,324,12697,203,101,75
reggae gaucho,#a28b0b,990,14381,162,139,11
circuit,#d97887,1156,18945,217,120,135
metal catala,#d65c50,267,14092,214,92,80
post-disco,#ab7617,993,14647,171,118,23
deep g funk,#a18213,1151,15747,161,130,19
british experimental,#807394,522,7744,128,115,148
c64,#ab8a95,860,16316,171,138,149
korean electronic,#bb8aab,968,17555,187,138,171
new tribe,#4f9fb1,607,6299,79,159,177
erotica,#539ebb,636,9163,83,158,187
indie electronica,#878da4,826,13521,135,141,164
belgian electronic,#a48d93,1026,17353,164,141,147
torch song,#40960d,760,2159,64,150,13
orchestral performance,#2b9684,357,1263,43,150,132
polish contemporary classical,#229d8e,260,1299,34,157,142
balfolk,#759a38,536,6904,117,154,56
pianissimo,#1ea8e1,716,1931,30,168,225
musica costarricense,#908d19,830,9702,144,141,25
indian indie,#928f36,719,12049,146,143,54
brostep,#d87b52,781,17403,216,123,82
catalan folk,#69923d,741,5856,105,146,61
soul,#6f8516,843,5593,111,133,22
belarusian punk,#cd6511,540,13449,205,101,17
london indie,#a7821c,497,12098,167,130,28
finnish dance pop,#b28205,770,14850,178,130,5
turkce remix,#af9138,1091,17139,175,145,56
serbian alternative rock,#c16d30,520,12269,193,109,48
rva indie,#978732,517,9472,151,135,50
rochester ny indie,#a37b29,469,9599,163,123,41
spanish synthpop,#c17f25,843,17733,193,127,37
duduk,#5da8a8,395,5142,93,168,168
zeuhl,#847e6e,438,6993,132,126,110
country gospel,#599410,903,4523,89,148,16
marathi hip hop,#af860b,1026,14436,175,134,11
polyphonies corses,#569d0c,334,4296,86,157,12
halifax indie,#a78028,511,11240,167,128,40
viet instrumental,#5ca692,618,6177,92,166,146
piano mpb,#599d9c,786,4105,89,157,156
classic iskelma,#798f07,708,6657,121,143,7
scandipop,#a88d1c,935,16443,168,141,28
latinx alternative,#ae8317,855,13195,174,131,23
nz pop,#8a920f,765,12954,138,146,15
kazakh pop,#ac8b13,899,15394,172,139,19
belgian indie,#918b30,526,12000,145,139,48
russian trap,#aa8b0a,999,13927,170,139,10
yacht rock,#8c8419,739,10009,140,132,25
danish post-punk,#c06c4b,276,11975,192,108,75
trap pesado,#879807,1197,15646,135,152,7
japanese old school hip hop,#be7225,1041,15899,190,114,37
south african jazz,#858d34,870,9064,133,141,52
uk dub,#909759,1208,17113,144,151,89
vintage western,#5c884c,1124,4409,92,136,76
bronx hip hop,#b56f13,1160,14356,181,111,19
grunge brasileiro,#c6723c,429,14669,198,114,60
brazilian contemporary classical,#36a1b2,599,1678,54,161,178
folkmusik,#579d2f,571,4788,87,157,47
saxophone trio,#748168,689,6029,116,129,104
swedish jazz,#539850,700,4687,83,152,80
yaoi,#a4815b,491,14117,164,129,91
austropop,#8f810a,872,9912,143,129,10
gaming edm,#c5864d,680,17062,197,134,77
jig and reel,#6aa174,719,4308,106,161,116
hungarian punk,#db5b19,469,14951,219,91,25
guatemalan indie,#958e2a,618,11558,149,142,42
nice indie,#ab8237,497,12808,171,130,55
houston indie,#a1823c,411,10120,161,130,60
eurodance,#d37830,913,18274,211,120,48
orquesta cubana,#987a54,937,5781,152,122,84
hamburg indie,#a2841a,552,12208,162,132,26
tucson indie,#868848,524,7682,134,136,72
spanish electropop,#c37b2c,925,17795,195,123,44
swiss folk,#80952a,806,7735,128,149,42
deep neofolk,#609b38,471,7104,96,155,56
german indie pop,#9d8c2d,770,14825,157,140,45
electro latino,#cc8120,1060,17721,204,129,32
classic russian pop,#9d8209,813,12182,157,130,9
sophisti-pop,#a57f19,767,14723,165,127,25
alternative r&b,#87921a,878,11826,135,146,26
deathrock,#c46751,318,13916,196,103,81
vlaamse kinderliedje,#998406,1030,10679,153,132,6
baltic post-punk,#ae8246,520,14914,174,130,70
hip pop,#a58406,1001,15091,165,132,6
musique touareg,#809233,907,6446,128,146,51
muzica etno,#ae8d04,1082,12488,174,141,4
