genre,hex_colour,x,y,r,g,b
folklore ecuatoriano,#699a21,1135,5875,105,154,33
indonesian alternative rock,#b37715,403,11277,179,119,21
slovak hip hop,#b1850a,1009,12824,177,133,10
classic colombian pop,#85960e,1095,8027,133,150,14
italian gothic,#b87b4f,280,14657,184,123,79
azonto,#be8209,1106,14294,190,130,9
classical piano duo,#1aa3da,670,920,26,163,218
molam,#988933,855,10306,152,137,51
west-vlaamse hip hop,#9c8608,1104,10980,156,134,8
luk thung,#999003,729,11716,153,144,3
baroque cello,#1ca77d,330,1439,28,167,125
spanish classical,#4e9631,633,1729,78,150,49
classical contralto,#2da31c,405,276,45,163,28
streektaal,#968005,660,9151,150,128,5
classic nz country,#5f962d,760,5893,95,150,45
newfoundland indie,#819017,511,8396,129,144,23
jazz chileno,#758e76,777,5518,117,142,118
chicago bop,#9e9102,964,15263,158,145,2
telugu devotional,#8e8a0d,919,6400,142,138,13
swedish punk,#d45c11,341,11031,212,92,17
togolese pop,#b3860b,993,12337,179,134,11
deep motown,#937f12,734,6473,147,127,18
argentine telepop,#a68d08,697,13804,166,141,8
pop quebecois,#918f0e,607,11191,145,143,14
spanish psychedelic rock,#b37b64,299,10773,179,123,100
rap catala,#b38409,1050,10486,179,132,9
stomp and flutter,#6d962b,504,7079,109,150,43
deep psychobilly,#da5922,513,11265,218,89,34
modern southern rock,#b17b13,484,11105,177,123,19
british orchestra,#369aa8,237,2993,54,154,168
beat italiano,#90860c,484,8224,144,134,12
reggae tico,#ab880f,1113,13865,171,136,15
narodna muzika,#a78006,589,9960,167,128,6
jota aragonesa,#519934,832,3095,81,153,52
bachata,#a79204,1172,13024,167,146,4
classic mandopop,#769705,529,8004,118,151,5
trot,#959223,520,11339,149,146,35
shantykoren,#667b10,349,3968,102,123,16
ghanaian pop,#af8b0c,1117,13049,175,139,12
dub,#879130,1239,14243,135,145,48
italian tech house,#d37ebc,1419,19578,211,126,188
polish early music,#23a458,195,726,35,164,88
texas blues,#638b26,1018,3827,99,139,38
nitzhonot,#e875c9,907,19236,232,117,201
brazilian classical piano,#23a6dd,686,313,35,166,221
slack-key guitar,#52a878,790,4839,82,168,120
german singer-songwriter,#829309,758,9936,130,147,9
bengali folk,#5e971c,724,2968,94,151,28
spanish pop,#af8406,734,12967,175,132,6
ethio-jazz,#948672,783,7953,148,134,114
vintage old-time,#539534,1035,1577,83,149,52
sufi,#88851a,729,6324,136,133,26
memphis americana,#8f8817,700,8819,143,136,23
indie cristao,#7d970f,482,8740,125,151,15
piano rock,#9a800c,576,7670,154,128,12
viral pop,#7f9607,711,9808,127,150,7
brisbane indie,#b27a25,349,12759,178,122,37
sheffield indie,#a77c1d,389,10231,167,124,29
modern mod,#bd7521,417,13636,189,117,33
afropop,#9f871a,955,10281,159,135,26
samba-enredo,#b67212,853,10145,182,114,18
novo rock gaucho,#ac7e19,448,12685,172,126,25
macross,#ad7917,379,12980,173,121,23
pittsburgh rock,#b4741a,411,11607,180,116,26
arpa paraguaya,#81944d,903,5692,129,148,77
north carolina roots,#73951a,734,6276,115,149,26
rap mineiro,#91940d,1074,10343,145,148,13
deep underground hip hop,#a58b05,1016,12089,165,139,5
old school rap francais,#b77a10,1076,11826,183,122,16
shoegaze chileno,#b27b77,219,12809,178,123,119
mexican hip hop,#a98405,1102,13484,169,132,5
dub techno,#8892cf,1014,16392,136,146,207
samba moderno,#a48302,878,8298,164,131,2
russian choir,#29964e,111,352,41,150,78
piseiro,#d28f04,1236,15179,210,143,4
black 'n' roll,#e23b78,102,11142,226,59,120
heavy alternative,#d46d0b,267,16342,212,109,11
epic black metal,#c55597,64,12159,197,85,151
groove metal,#e74934,263,12122,231,73,52
brazilian metal,#e04d39,247,11817,224,77,57
progressive deathcore,#eb4569,197,14744,235,69,105
black metal,#da3d7f,81,10847,218,61,127
metal piauiense,#e53e51,188,11705,229,62,81
finnish hard rock,#d76217,276,15356,215,98,23
slayer,#d36624,224,15280,211,102,36
colorado hardcore,#e64a39,234,11362,230,74,57
danish hardcore,#ea3f6e,145,11756,234,63,110
vallenato moderno,#be8400,1115,10604,190,132,0
canadian pop punk,#e05a11,265,15912,224,90,17
taiwan experimental,#92777f,471,8139,146,119,127
world chill,#929081,855,13208,146,144,129
indian edm,#be8a6d,941,17580,190,138,109
gothic doom,#b67965,293,12636,182,121,101
alphorn,#64a39c,529,5956,100,163,156
psychill,#9a95bd,731,16189,154,149,189
italian library music,#6f9aa4,613,6744,111,154,164
experimental indie,#89865b,667,8752,137,134,91
french synthpop,#9f8d47,589,14976,159,141,71
ninja,#a1827a,919,15330,161,130,122
sovietwave,#b28a99,630,16582,178,138,153
canadian experimental,#6f83ab,248,6915,111,131,171
plunderphonics,#9b6d5d,756,10700,155,109,93
bardcore,#7a99b0,767,14735,122,153,176
darbuka,#bd7084,1115,14257,189,112,132
deep chill,#8d9aab,939,16114,141,154,171
post-punk colombiano,#be7960,545,16001,190,121,96
atmospheric dnb,#bc85b1,891,17340,188,133,177
tennessee experimental,#738685,419,7621,115,134,133
acid techno,#bf8acd,1129,18670,191,138,205
greek techno,#bc8dd4,1190,18820,188,141,212
organic electronic,#9f98b4,1244,18066,159,152,180
australian experimental,#6c87a9,322,7227,108,135,169
ballroom,#6d938b,561,6313,109,147,139
hyperpop,#a58847,838,15153,165,136,71
theremin,#599896,399,5922,89,152,150
ukrainian folk,#b27d14,907,13333,178,125,20
luxembourgian hip hop,#a18b0a,1091,13234,161,139,10
colombian hip hop,#ab820c,1104,13036,171,130,12
thai folk pop,#8e9604,689,10835,142,150,4
brega funk,#bb8a04,1288,15836,187,138,4
new orleans blues,#7c802b,901,5445,124,128,43
cool jazz,#529169,903,2968,82,145,105
hawaiian punk,#cb5527,401,9275,203,85,39
caucasian classical piano,#21a3d1,515,339,33,163,209
czech punk,#d7630a,467,13311,215,99,10
brazilian emo,#c56f24,373,12442,197,111,36
mexican traditional,#7d8e12,947,5819,125,142,18
austin americana,#858d0b,683,8765,133,141,11
desert blues,#928d2e,925,8414,146,141,46
punk galego,#d5631a,448,13649,213,99,26
chicago blues,#777f1d,1003,4535,119,127,29
gospel antigas,#879415,557,9017,135,148,21
polish trap,#a59106,1016,14270,165,145,6
kaneka,#b28c02,913,14412,178,140,2
mambo chileno,#b19007,1138,15785,177,144,7
zim urban groove,#a28b1a,937,8651,162,139,26
uzbek pop,#c18003,880,15179,193,128,3
kannada pop,#968d04,882,10009,150,141,4
grunge,#c4623d,284,9901,196,98,61
desi trap,#a29006,1111,14486,162,144,6
rap alagoano,#ac8810,1050,13802,172,136,16
indonesian shoegaze,#b87d78,235,14423,184,125,120
kurdish pop,#9b8508,731,9114,155,133,8
atl trap,#939905,1135,15912,147,153,5
old school dancehall,#968e0b,1197,13983,150,142,11
nordic contemporary classical,#1d9d77,232,982,29,157,119
nadaswaram,#b352e7,849,4384,179,82,231
italian contemporary jazz,#4a9d85,700,2766,74,157,133
shehnai,#837cb8,513,3018,131,124,184
japanese blues,#a6791a,689,8856,166,121,26
southeast asian post-rock,#9e88b1,309,10724,158,136,177
rawstyle,#e8622d,495,17201,232,98,45
punk chileno,#da5e19,395,11704,218,94,25
musica tradicional cubana,#848529,1003,4990,132,133,41
australian country,#948e04,724,10675,148,142,4
milwaukee indie,#a67d25,419,9662,166,125,37
amharic pop,#ad8508,887,13691,173,133,8
talentos brasileiros,#969007,783,10572,150,144,7
mississippi indie,#a38121,413,10009,163,129,33
nightrun,#cb7934,349,17264,203,121,52
italian hip hop,#b58508,964,13028,181,133,8
boston hardcore,#e3473a,247,9601,227,71,58
japanese emo,#c36b30,293,12883,195,107,48
latin arena pop,#ae8804,667,13894,174,136,4
deep funk ostentacao,#ae8605,1262,14033,174,134,5
classic praise,#769112,401,9005,118,145,18
discofox,#e46b03,819,17909,228,107,3
polish alternative rap,#b18008,1003,10731,177,128,8
moorish traditional,#7c8225,927,6818,124,130,37
oxford choir,#359d39,143,996,53,157,57
baluchi folk,#bc7318,923,9402,188,115,24
latino comedy,#a34c03,995,5933,163,76,3
reggae fusion,#b18605,1091,10993,177,134,5
thai idol,#93910a,726,12941,147,145,10
rap gaucho,#a78604,1065,11160,167,134,4
musica istmena,#a28d11,1095,9652,162,141,17
swiss reggae,#a48f1e,1154,15027,164,143,30
psych gaze,#ae7c74,202,12072,174,124,116
mexican tech house,#cf86c6,1374,19452,207,134,198
amapiano,#a29d78,1366,18744,162,157,120
japanese vtuber,#bb7936,618,15735,187,121,54
metal noir quebecois,#d6448c,104,11878,214,68,140
sleep,#7d00c5,86,4131,125,0,197
indie singer-songwriter,#669c11,596,6842,102,156,17
traditional blues,#5f8921,1045,3094,95,137,33
musica nicaraguense,#968f08,909,8814,150,143,8
family gospel,#779109,547,7449,119,145,9
ragtime,#5b8fb1,1069,2324,91,143,177
american classical piano,#21a1d6,536,440,33,161,214
deep new americana,#858e12,576,7831,133,142,18
israeli trap,#a48c09,1013,12213,164,140,9
festigal,#b38402,615,13559,179,132,2
acoustic guitar cover,#60acc8,993,6153,96,172,200
stoner metal,#c46763,254,9588,196,103,99
indie punk,#c46639,288,11301,196,102,57
neomelodici,#ac8604,674,12846,172,134,4
cook islands pop,#b3840c,951,14891,179,132,12
paisley underground,#a9791d,423,10573,169,121,29
king of prism,#dd6f45,403,17681,221,111,69
symphonic metal,#c96a27,201,14276,201,106,39
salsa colombiana,#be8f08,1126,11640,190,143,8
folklore venezolano,#a0890c,949,5744,160,137,12
melodic thrash,#e84c3c,234,12797,232,76,60
speed metal,#e64334,204,12085,230,67,52
igbo traditional,#ba8124,1136,8052,186,129,36
colombian hardcore,#e75025,292,12515,231,80,37
sierreno,#989100,1022,8625,152,145,0
melodic death metal,#e45054,152,14708,228,80,84
gayageum,#28a399,1213,2209,40,163,153
french renaissance,#26a362,347,1166,38,163,98
kinderchor,#5f9a18,868,7661,95,154,24
folklore quebecois,#918d3a,1045,5546,145,141,58
filter house,#be8063,976,17868,190,128,99
krautrock,#84848c,478,8065,132,132,140
downtempo bass,#a08f8c,947,16139,160,143,140
deep progressive trance,#bb84a0,919,17918,187,132,160
house,#cc7e6d,1096,18473,204,126,109
maldivian pop,#968a33,817,13139,150,138,51
bitpop,#be8067,677,17137,190,128,103
gamecore,#b6867c,810,16518,182,134,124
synth punk,#c36559,471,14582,195,101,89
indie campechano,#aa8339,739,14055,170,131,57
fidget house,#c67974,1118,18115,198,121,116
vogue,#b78173,1127,17708,183,129,115
musica evangelica instrumental,#55a89b,379,6535,85,168,155
greek contemporary classical,#4e9974,489,3790,78,153,116
montreal indie,#8e8b4c,621,10798,142,139,76
african percussion,#9c7b7b,1144,8513,156,123,123
canadian electropop,#a68c3a,746,16177,166,140,58
south african electronic,#958f90,1095,16809,149,143,144
musica roraimense,#918d39,772,12758,145,141,57
schranz,#dd5cbe,982,18958,221,92,190
coldwave,#a88368,564,15431,168,131,104
japanese progressive house,#ca85a8,866,18503,202,133,168
indie arequipeno,#b57a33,533,13053,181,122,51
techno argentina,#bb8dd8,1225,19074,187,141,216
romanian electronic,#b18cb9,1371,18958,177,140,185
rock noise,#b74d86,328,8727,183,77,134
power electronics,#a44999,201,9152,164,73,153
chillwave,#a58869,543,14544,165,136,105
nu electro,#c086a1,1104,18127,192,134,161
japanese dream pop,#9a8864,427,11423,154,136,100
greek clarinet,#7e9646,495,5832,126,150,70
cincinnati rap,#909805,1080,14647,144,152,5
taiwanese pop,#859606,547,11314,133,150,6
trap brasileiro,#949406,1073,12250,148,148,6
deep folk metal,#d05e4d,201,13387,208,94,77
rock abc paulista,#d85b31,299,11399,216,91,49
asakaa,#ad8c08,1120,12885,173,140,8
mississippi hip hop,#a28b04,1080,14597,162,139,4
baton rouge rap,#a28e04,1113,15317,162,142,4
jackin' house,#d37291,1306,19161,211,114,145
aussie drill,#a18c04,1211,13210,161,140,4
musica menorquina,#7b9019,746,6695,123,144,25
madrigal,#1fa437,204,652,31,164,55
mandolin,#709b5a,862,5819,112,155,90
traditional folk,#4c9727,995,2437,76,151,39
classical piano,#20a2d5,508,326,32,162,213
musica popular uruguaya,#8d880b,866,7747,141,136,11
chicago drill,#a29001,980,14182,162,144,1
native american spiritual,#4c9f1c,970,6779,76,159,28
korean punk,#dc591f,328,13274,220,89,31
deep melodic metalcore,#e05326,252,14215,224,83,38
apostolic worship,#988606,425,9263,152,134,6
old-time fiddle,#71a15a,700,5456,113,161,90
world worship,#888f13,332,10541,136,143,19
musica gaucha,#d77602,986,13472,215,118,2
argentine punk,#d65f19,347,11691,214,95,25
rap conciencia,#b77a06,1048,9352,183,122,6
afro dancehall,#c18206,1045,12812,193,130,6
zambian hip hop,#b48808,1009,11640,180,136,8
panamanian pop,#be8804,1074,12439,190,136,4
alabama rap,#a09203,1073,15142,160,146,3
hip hop quebecois,#aa8606,1033,11602,170,134,6
sinogaze,#aa8083,250,13237,170,128,131
punta rock,#c6770c,1022,13778,198,119,12
hungarian black metal,#cf4e96,99,12588,207,78,150
bachata dominicana,#a59305,1229,13197,165,147,5
rap romantico,#919104,1033,9921,145,145,4
ghanaian hip hop,#b58605,1117,12900,181,134,5
trinidadian reggae,#ba840e,1073,15001,186,132,14
a3,#d46d39,405,15785,212,109,57
belgian jazz,#4d9d83,790,2995,77,157,131
ectofolk,#689a0b,610,7055,104,154,11
acoustic chill,#4da609,799,5605,77,166,9
hindustani vocal,#658f3c,454,3271,101,143,60
malayalam pop,#879405,815,10331,135,148,5
rock urbano mexicano,#bd7210,506,10268,189,114,16
indian singer-songwriter,#6e9c13,694,9102,110,156,19
sertanejo,#ab8701,819,10663,171,135,1
new americana,#7b9011,610,7017,123,144,17
cape breton indie,#8e900a,579,10584,142,144,10
malian blues,#8d9136,903,8402,141,145,54
stoner rock,#c26959,256,9550,194,105,89
balkan hip hop,#bb7a0d,1067,11925,187,122,13
arabic hip hop,#ae850f,1022,13112,174,133,15
trap chileno,#9e9705,1054,13983,158,151,5
rap marseille,#b88308,1073,12039,184,131,8
russian dance,#b28e09,945,15886,178,142,9
bahamian pop,#b47e28,1060,15507,180,126,40
gospel soul,#807c0b,664,6017,128,124,11
musique guadeloupe,#bd860e,1030,15343,189,134,14
funk ostentacao,#ae8303,1239,13380,174,131,3
canadian shoegaze,#a27e85,164,12011,162,126,133
romanian contemporary classical,#1e9c84,318,860,30,156,132
veena,#7b8b3c,781,3650,123,139,60
finnish tango,#5d9706,552,5041,93,151,6
swing revival,#8c8117,913,7858,140,129,23
classic kollywood,#84882b,765,3613,132,136,43
norwegian folk rock,#928c0c,493,8828,146,140,12
rock en asturiano,#c86c0f,459,12502,200,108,15
